Selection,View,Channel,BeginTime_s_,EndTime_s_,HighFreq_Hz_,LowFreq_Hz_,Time5__s_,Time5_Rel_,Time95__s_,Time95_Rel_,Dur90__s_,DeltaTime_s_,Freq5__Hz_,Freq95__Hz_,PeakFreq_Hz_,BW90__Hz_,SNRNISTQuick_dB_,QualName,StartFreqHz,EndFreqHz,Source,Inflections,Rendition,CompleteRendition
1,Spectrogram 1,1,3.853860443,6.762434363,2973.393,1145.363,4.0624,0.0652,6.4687,0.9022,2.4062,2.9086,1184,2944,2752,1760,13.63,E1,1388,2780,Dec03_2011_1200,2,1,N
2,Spectrogram 1,1,7.610768423,11.48886698,3026.489,1312.237,7.7812,0.0407,11.2499,0.9431,3.4688,3.8781,1360,2960,2832,1600,12.8,E2,1468,2832,Dec03_2011_1200,4,1,N
3,Spectrogram 1,1,12.92122015,15.02993624,2958.222,1471.526,13.0312,0.0455,14.9062,0.9545,1.875,2.1087,1536,2912,2848,1376,13.34,E1,1796,2904,Dec03_2011_1200,2,1,N
4,Spectrogram 1,1,16.04793711,18.68989175,2973.393,1092.267,16.2499,0.0714,18.4687,0.9167,2.2188,2.642,1200,2928,2848,1728,13.09,E1,1364,2756,Dec03_2011_1200,2,1,N
5,Spectrogram 1,1,19.82908321,24.84637322,3018.904,1509.452,20.4687,0.125,24.5624,0.9437,4.0938,5.0173,1552,2928,2864,1376,12.92,E3,1828,2496,Dec03_2011_1200,6,1,N
6,Spectrogram 1,1,26.25218394,29.28194844,3049.244,1463.941,26.4999,0.0729,28.9999,0.9062,2.5,3.0298,1520,3024,3024,1504,12.78,E2,1908,2792,Dec03_2011_1200,4,1,N
7,Spectrogram 1,1,30.83650013,33.93897898,2935.467,1494.281,31.0937,0.0808,33.7499,0.9394,2.6562,3.1025,1536,2896,2656,1360,12.06,E2,1964,1536,Dec03_2011_1200,4,1,N
8,Spectrogram 1,1,34.18136014,38.93203087,1190.874,265.481,34.7187,0.1126,38.5937,0.9338,3.875,4.7507,304,928,496,624,20.63,A,456,452,Dec03_2011_1200,1,1,N
9,Spectrogram 1,1,41.35584247,42.47079581,811.615,568.889,41.4687,0.0857,42.2499,0.8,0.7812,1.115,624,800,704,176,19.85,B,724,712,Dec03_2011_1200,0,1,N
10,Spectrogram 1,1,42.64046262,43.44032045,508.207,295.822,42.7812,0.16,43.4374,1,0.6562,0.7999,304,464,320,160,19.67,C,440,376,Dec03_2011_1200,0,1,N
11,Spectrogram 1,1,44.84613117,46.08227509,379.259,121.363,45.1249,0.2105,45.8749,0.8421,0.75,1.2361,144,320,272,176,20.56,D,240,340,Dec03_2011_1200,1,1,N
12,Spectrogram 1,1,47.24570463,48.02132434,402.015,121.363,47.3749,0.1667,47.9687,0.9583,0.5938,0.7756,144,352,144,208,23.09,D,212,284,Dec03_2011_1200,1,1,N
14,Spectrogram 1,1,119.6380033,121.6982432,2669.985,1403.259,119.7499,0.0462,121.5624,0.9385,1.8125,2.0602,1456,2608,1536,1152,12.09,E1,1672,2572,Dec03_2011_1200,2,2,Y
15,Spectrogram 1,1,122.7647203,126.3519614,3018.904,1410.844,122.8749,0.0263,126.0624,0.9211,3.1875,3.5872,1488,2944,1600,1456,11.66,E2,1604,2612,Dec03_2011_1200,4,2,Y
16,Spectrogram 1,1,127.3942004,130.9329654,2958.222,1494.281,127.5624,0.0446,130.5937,0.9107,3.0312,3.5388,1520,2912,1520,1392,12.06,E2,1652,2884,Dec03_2011_1200,4,2,Y
17,Spectrogram 1,1,132.2175855,136.3623033,2973.393,1342.578,132.3437,0.0303,136.1562,0.9545,3.8125,4.1447,1376,2848,1392,1472,12.13,E2,1388,2784,Dec03_2011_1200,4,2,Y
18,Spectrogram 1,1,137.5742091,141.5734982,2882.37,1152.948,137.8749,0.0709,141.2499,0.9213,3.375,3.9993,1328,2848,2816,1520,12.36,E2,1404,2652,Dec03_2011_1200,4,2,Y
19,Spectrogram 1,1,142.5430229,146.3484071,2859.615,1228.8,142.7499,0.0496,146.0937,0.9339,3.3438,3.8054,1360,2784,2768,1424,11.64,E2,1388,2560,Dec03_2011_1200,4,2,Y
20,Spectrogram 1,1,147.4148842,151.2929828,2859.615,1183.289,147.5937,0.0407,150.8437,0.8862,3.25,3.8781,1360,2832,1760,1472,12.13,E2,1352,2748,Dec03_2011_1200,4,2,Y
21,Spectrogram 1,1,151.9231738,155.6073674,2920.296,1001.244,152.1874,0.0684,155.4062,0.9487,3.2188,3.6842,1072,2832,1520,1760,12.05,E2,1028,2576,Dec03_2011_1200,4,2,Y
22,Spectrogram 1,1,156.4557014,160.2853238,3072,1380.504,156.6249,0.041,159.9062,0.9016,3.2812,3.8296,1504,3040,1776,1536,11.46,E2,1756,2912,Dec03_2011_1200,4,2,Y
23,Spectrogram 1,1,161.1821341,163.7271362,2973.393,1266.726,161.3124,0.0494,163.5624,0.9383,2.25,2.545,1328,2896,1344,1568,12.01,E1,1360,1520,Dec03_2011_1200,2,2,Y
24,Spectrogram 1,1,164.4542797,168.9868074,2965.807,1122.607,164.6249,0.0347,168.4999,0.8958,3.875,4.5325,1200,2816,1216,1616,11.81,E2,1528,2872,Dec03_2011_1200,4,2,Y
25,Spectrogram 1,1,170.3441419,173.8344306,2920.296,1039.17,170.5312,0.0455,173.2499,0.8364,2.7188,3.4903,1120,2608,1696,1488,12.26,E1,1068,2888,Dec03_2011_1200,2,2,Y
26,Spectrogram 1,1,175.7734796,178.8759584,1031.585,280.652,175.8749,0.0303,178.6874,0.9394,2.8125,3.1025,288,832,688,544,18.68,A,620,304,Dec03_2011_1200,1,2,Y
27,Spectrogram 1,1,183.7227175,184.4983372,515.793,273.067,183.8124,0.087,184.4062,0.913,0.5938,0.7756,288,448,320,160,18,D,292,348,Dec03_2011_1200,1,2,Y
28,Spectrogram 1,1,185.7353453,186.7775842,326.163,151.704,185.8437,0.0938,186.6249,0.875,0.7812,1.0422,160,304,256,144,21.33,D,248,308,Dec03_2011_1200,1,2,Y
29,Spectrogram 1,1,187.8925376,188.6923954,326.163,136.533,188.0312,0.16,188.6249,0.92,0.5938,0.7999,160,272,256,112,22.56,D,228,188,Dec03_2011_1200,1,2,Y
30,Spectrogram 1,1,190.073968,190.8253496,310.993,121.363,190.1562,0.087,190.7812,0.9565,0.625,0.7514,144,256,256,112,20.71,D,188,188,Dec03_2011_1200,1,2,Y
32,Spectrogram 1,1,263.2700134,265.3302532,2609.304,1327.407,263.2812,0,265.1874,0.9385,1.9062,2.0602,1392,2544,1536,1152,11.65,E1,1556,2456,Dec03_2011_1200,2,3,Y
33,Spectrogram 1,1,266.4209684,270.3717813,2867.2,1152.948,266.5937,0.04,270.1874,0.96,3.5938,3.9508,1280,2800,1664,1520,12.06,E2,1292,1532,Dec03_2011_1200,4,3,Y
34,Spectrogram 1,1,271.4140203,273.9347844,2882.37,1319.822,271.5624,0.0506,273.7499,0.9367,2.1875,2.5208,1376,2832,1344,1456,12.18,E1,1528,1628,Dec03_2011_1200,2,3,Y
35,Spectrogram 1,1,275.0497377,278.8066457,2859.615,1297.067,275.2187,0.042,278.5312,0.9328,3.3125,3.7569,1376,2832,1488,1456,12.21,E2,1652,1520,Dec03_2011_1200,4,3,Y
36,Spectrogram 1,1,279.7519322,283.3391734,3026.489,1297.067,279.9062,0.0354,283.1562,0.9558,3.25,3.5872,1376,2928,1760,1552,11.43,E2,1364,1620,Dec03_2011_1200,4,3,Y
37,Spectrogram 1,1,284.3329361,288.1867966,3125.096,1327.407,284.4999,0.041,287.7812,0.9016,3.2812,3.8539,1392,3056,2992,1664,12.09,E2,1576,1768,Dec03_2011_1200,4,3,Y
38,Spectrogram 1,1,288.8897019,292.7193243,2988.563,1297.067,289.1562,0.0656,292.4687,0.9344,3.3125,3.8296,1392,2960,2960,1568,12.42,E2,1520,2776,Dec03_2011_1200,4,3,Y
39,Spectrogram 1,1,293.5434202,298.4637578,3034.074,1077.096,293.8437,0.0577,297.9062,0.891,4.0625,4.9203,1264,2976,1344,1712,12.19,E3,1180,2808,Dec03_2011_1200,6,3,Y
40,Spectrogram 1,1,299.4377473,302.0069876,3087.17,1039.17,299.6562,0.0741,301.7812,0.9136,2.125,2.5692,1296,3056,3040,1760,11.73,E1,1112,2936,Dec03_2011_1200,2,3,Y
41,Spectrogram 1,1,303.0007503,307.8483735,3041.659,1008.83,303.3124,0.0584,307.4374,0.9156,4.125,4.8476,1168,3008,1728,1840,11.71,E2,1096,2708,Dec03_2011_1200,4,3,Y
42,Spectrogram 1,1,308.6967076,312.2597106,2996.148,1448.77,308.9374,0.0619,311.8749,0.8938,2.9375,3.563,1504,2896,1728,1392,11.7,E1,1568,2780,Dec03_2011_1200,2,3,Y
43,Spectrogram 1,1,313.2067255,316.4788711,970.904,265.481,313.6249,0.125,316.3437,0.9615,2.7188,3.2721,288,784,688,496,20.24,A,476,488,Dec03_2011_1200,1,3,Y
45,Spectrogram 1,1,527.3583221,529.5639907,2844.444,1501.867,527.4999,0.0571,529.3124,0.8857,1.8125,2.2057,1568,2784,2704,1216,11.25,E1,1696,2224,Dec03_2011_1200,2,4,N
46,Spectrogram 1,1,530.3638485,532.9088507,2950.637,1501.867,530.8437,0.1852,532.7187,0.9259,1.875,2.545,1680,2896,2464,1216,11.39,E1,1772,2432,Dec03_2011_1200,2,4,N
47,Spectrogram 1,1,533.8783753,537.7079976,2935.467,1334.993,534.2187,0.0826,537.4374,0.9339,3.2188,3.8296,1568,2880,2464,1312,11.82,E2,1756,2720,Dec03_2011_1200,4,4,N
48,Spectrogram 1,1,538.5563317,544.1310984,3056.83,1380.504,538.7812,0.0393,543.7812,0.9382,5,5.5748,1456,3024,1504,1568,11.17,E3,1428,2828,Dec03_2011_1200,6,4,N
49,Spectrogram 1,1,544.8865129,549.8795648,3087.17,1304.652,545.1562,0.0503,549.5937,0.9434,4.4375,4.9931,1392,3040,2816,1648,11.43,E3,1416,2816,Dec03_2011_1200,6,4,N
50,Spectrogram 1,1,550.752137,553.1032342,3231.289,1539.793,550.9062,0.0541,552.9687,0.9459,2.0625,2.3511,1648,3136,2928,1488,11.5,E1,1692,2924,Dec03_2011_1200,2,4,N
51,Spectrogram 1,1,554.172736,560.7897417,3087.17,1517.037,554.7499,0.0853,560.1874,0.91,5.4375,6.617,1552,3056,3056,1504,12.09,E4,1832,2976,Dec03_2011_1200,8,4,N
52,Spectrogram 1,1,561.5168852,565.3707456,3018.904,1327.407,562.0312,0.1311,564.7187,0.8361,2.6875,3.8539,1488,2992,2848,1504,12.18,E2,1408,2624,Dec03_2011_1200,4,4,N
53,Spectrogram 1,1,566.0779718,570.7074519,3041.659,1334.993,566.3437,0.0544,570.2499,0.9048,3.9062,4.6295,1408,2992,2832,1584,12.8,E3,1432,2816,Dec03_2011_1200,6,4,N
54,Spectrogram 1,1,571.9435958,575.0218366,3079.585,1380.504,572.2499,0.0928,574.7812,0.9278,2.5312,3.0782,1504,2976,2816,1472,12.84,E2,1796,2864,Dec03_2011_1200,4,4,N
55,Spectrogram 1,1,575.8944087,580.9116987,3094.756,1334.993,576.1562,0.05,580.5624,0.9313,4.4062,5.0173,1424,3040,2896,1616,12.06,E3,1416,2840,Dec03_2011_1200,6,4,N
56,Spectrogram 1,1,581.6658166,585.0591528,3056.83,1312.237,581.7812,0.028,584.8124,0.9346,3.0312,3.3933,1424,2960,2880,1536,12.64,E2,1488,2640,Dec03_2011_1200,4,4,N
57,Spectrogram 1,1,585.9074869,591.6761585,2996.148,1259.141,586.5937,0.1148,590.9374,0.8743,4.3438,5.7687,1472,2912,2880,1440,12.08,E4,1312,2888,Dec03_2011_1200,8,4,N
58,Spectrogram 1,1,592.8899364,595.9197009,3026.489,1274.311,593.2187,0.1042,595.8124,0.9688,2.5938,3.0298,1424,2928,2880,1504,12.09,E2,1372,2784,Dec03_2011_1200,4,4,N
1,Spectrogram 1,1,1.508226384,4.113344684,2943.052,1274.311,1.8749,0.1341,3.5624,0.7927,1.6875,2.6051,1392,2928,2928,1536,15.64,E1,1404,2624,Dec03_2011_1500,2,5,N
2,Spectrogram 1,1,4.678929578,9.169330858,2950.637,1259.141,5.0624,0.0839,8.7812,0.9161,3.7188,4.4904,1328,2944,2448,1616,15.79,E3,1372,2812,Dec03_2011_1500,6,5,N
3,Spectrogram 1,1,10.01130138,13.25056032,1190.874,348.919,10.4374,0.1262,13.0624,0.9417,2.625,3.2393,368,960,416,592,19.21,A,752,368,Dec03_2011_1500,1,5,N
4,Spectrogram 1,1,16.06098294,16.93326895,731.792,629.57,16.1562,0.1111,16.5937,0.6296,0.4375,0.8723,656,704,688,48,23.61,B,668,620,Dec03_2011_1500,0,5,N
5,Spectrogram 1,1,17.34640315,18.18621103,530.963,326.163,17.4687,0.12,18.1249,0.96,0.6562,0.8398,336,464,400,128,21.67,D,448,424,Dec03_2011_1500,1,5,N
6,Spectrogram 1,1,20.14004975,21.08269124,530.963,303.407,20.2187,0.069,20.9062,0.8276,0.6875,0.9426,304,496,400,192,24.33,D,476,372,Dec03_2011_1500,1,5,N
7,Spectrogram 1,1,22.19672209,23.31075294,515.793,144.119,22.3437,0.1176,23.0624,0.7941,0.7188,1.114,176,416,192,240,20.9,D,248,472,Dec03_2011_1500,1,5,N
8,Spectrogram 1,1,24.13342188,25.29886954,515.793,159.289,24.2499,0.0833,25.0312,0.7778,0.7812,1.1654,176,448,272,272,21.66,D,264,448,Dec03_2011_1500,1,5,N
10,Spectrogram 1,1,45.23437698,45.97135124,720.593,576.474,45.4374,0.2609,45.9062,0.913,0.4688,0.737,624,672,640,48,21.45,B,624,644,Dec03_2011_1500,0,6,Y
11,Spectrogram 1,1,46.31412996,47.47957762,584.059,417.185,46.3749,0.0278,47.1562,0.7222,0.7812,1.1654,448,512,496,64,19.3,C,484,520,Dec03_2011_1500,0,6,Y
12,Spectrogram 1,1,48.60880156,49.52984997,748.308,630.154,48.7812,0.1786,49.4999,1,0.7188,0.921,656,720,704,64,17.91,B,660,684,Dec03_2011_1500,0,6,Y
13,Spectrogram 1,1,49.84494548,50.83870823,502.154,374.154,50.1249,0.2667,50.5312,0.7,0.4062,0.9938,432,496,480,64,25.81,C,464,476,Dec03_2011_1500,0,6,Y
14,Spectrogram 1,1,52.97166244,53.72304404,787.692,571.077,53.1249,0.1739,53.7187,1,0.5938,0.7514,576,704,640,128,25.73,B,592,688,Dec03_2011_1500,0,6,Y
15,Spectrogram 1,1,53.91694896,55.39547404,561.231,443.077,54.1562,0.1522,54.9999,0.7391,0.8438,1.4785,480,544,512,64,19.76,C,516,552,Dec03_2011_1500,0,6,Y
16,Spectrogram 1,1,56.40961654,58.34631633,2548.622,1334.993,56.4687,0.0164,58.1874,0.918,1.7188,1.9367,1376,2432,1488,1056,12.2,E1,1500,1520,Dec03_2011_1500,2,6,Y
17,Spectrogram 1,1,59.16898527,62.04832655,2996.148,1441.185,59.3437,0.0549,61.7187,0.8901,2.375,2.8793,1488,2944,1728,1456,11.96,E1,1616,2244,Dec03_2011_1500,2,6,Y
18,Spectrogram 1,1,63.24805208,65.80175357,3163.022,1410.844,63.3749,0.0494,65.4999,0.8889,2.125,2.5537,1488,3072,1744,1584,11.59,E1,1732,2528,Dec03_2011_1500,2,6,Y
19,Spectrogram 1,1,66.79242971,71.08257625,3150.769,1063.385,67.1249,0.0735,70.7187,0.9191,3.5938,4.2901,1296,3056,1504,1760,12.59,E2,1316,1524,Dec03_2011_1500,4,6,Y
20,Spectrogram 1,1,72.00362465,74.40319814,3209.846,1368.615,72.1562,0.0533,74.1562,0.9067,2,2.3996,1488,3168,3008,1680,13.95,E1,1524,2748,Dec03_2011_1500,2,6,Y
21,Spectrogram 1,1,75.2515322,79.08115452,3209.846,1211.077,75.4999,0.0579,78.6874,0.9008,3.1875,3.8296,1392,3152,3008,1760,12.62,E2,1284,2824,Dec03_2011_1500,4,6,Y
22,Spectrogram 1,1,79.88446927,83.27780551,3081.846,1260.308,80.0937,0.0561,82.9999,0.9252,2.9062,3.3933,1376,3024,1504,1648,13.69,E2,1308,2908,Dec03_2011_1500,4,6,Y
23,Spectrogram 1,1,84.24733015,88.94952465,3111.385,1280,84.4062,0.0333,88.5937,0.9267,4.1875,4.7022,1360,3072,1472,1712,13.13,E3,1480,2964,Dec03_2011_1500,6,6,Y
24,Spectrogram 1,1,89.87287738,92.53907014,3062.154,1289.846,90.0624,0.0706,92.2187,0.8824,2.1562,2.6662,1360,3040,1440,1680,13.82,E1,1440,1732,Dec03_2011_1500,2,6,Y
25,Spectrogram 1,1,93.07230869,98.16231305,3190.154,974.769,93.5312,0.0864,97.8437,0.9383,4.3125,5.09,1120,3056,3008,1936,13.22,E3,1732,2772,Dec03_2011_1500,6,6,Y
26,Spectrogram 1,1,99.15607581,102.5251739,3249.231,1437.538,99.2499,0.028,102.1874,0.9065,2.9375,3.3691,1456,3184,1472,1728,13.34,E2,1480,3008,Dec03_2011_1500,4,6,Y
27,Spectrogram 1,1,103.6706964,108.0068472,3026.489,1418.43,103.8437,0.0362,107.7812,0.9493,3.9375,4.3362,1472,3008,2992,1536,13.33,E3,1460,2772,Dec03_2011_1500,6,6,Y
28,Spectrogram 1,1,109.0149938,112.0657244,3026.489,1236.385,109.1874,0.0515,111.7499,0.8969,2.5625,3.0507,1328,2976,1424,1648,14.08,E2,1340,2900,Dec03_2011_1500,4,6,Y
29,Spectrogram 1,1,113.4197004,116.6760983,1206.044,364.089,113.7187,0.0874,116.1562,0.8447,2.4375,3.2564,416,992,704,576,23.62,A,772,384,Dec03_2011_1500,1,6,Y
30,Spectrogram 1,1,119.2692905,120.1605152,758.519,606.815,119.6249,0.3929,120.0624,0.8929,0.4375,0.8912,656,720,704,64,27.44,B,632,692,Dec03_2011_1500,0,6,Y
31,Spectrogram 1,1,120.5032939,121.3431018,530.963,447.526,120.6874,0.2,121.2499,0.92,0.5625,0.8398,464,512,480,48,25.5,C,496,488,Dec03_2011_1500,0,6,Y
32,Spectrogram 1,1,122.6799388,123.2455237,781.274,599.23,122.8124,0.2353,123.1874,0.9412,0.375,0.5656,656,736,704,80,20.07,B,632,692,Dec03_2011_1500,0,6,Y
33,Spectrogram 1,1,123.5711635,124.496666,485.452,326.163,123.7812,0.2143,124.3749,0.8929,0.5938,0.9255,336,480,352,144,21.5,C,464,464,Dec03_2011_1500,0,6,Y
34,Spectrogram 1,1,125.4735854,126.1934207,750.933,644.741,125.5937,0.1364,125.9999,0.7273,0.4062,0.7198,688,720,704,32,30.53,B,696,716,Dec03_2011_1500,0,6,Y
35,Spectrogram 1,1,126.6218941,127.5473967,523.378,310.993,126.6562,0.0345,127.4062,0.8621,0.75,0.9255,336,480,448,144,22.28,C,416,464,Dec03_2011_1500,0,6,Y
36,Spectrogram 1,1,129.0042063,129.878292,470.281,250.311,129.0937,0.0741,129.7499,0.8519,0.6562,0.8741,256,432,272,176,25.03,D,396,376,Dec03_2011_1500,1,6,Y
37,Spectrogram 1,1,130.9066282,131.9006865,485.452,121.363,131.1874,0.2667,131.7812,0.9,0.5938,0.9941,176,432,176,256,24.83,D,260,460,Dec03_2011_1500,1,6,Y
38,Spectrogram 1,1,132.9461616,134.0259146,508.207,144.119,133.0312,0.0606,133.8437,0.8485,0.8125,1.0798,160,448,176,288,20.54,D,212,432,Dec03_2011_1500,1,6,Y
39,Spectrogram 1,1,134.8828614,135.9111976,508.207,121.363,134.9374,0.0312,135.5937,0.6875,0.6562,1.0283,144,464,176,320,19.01,D,176,376,Dec03_2011_1500,1,6,Y
41,Spectrogram 1,1,140.7443776,141.429935,713.007,599.23,140.9062,0.2381,141.3437,0.9048,0.4375,0.6856,608,688,656,80,26.74,B,632,652,Dec03_2011_1500,0,7,Y
42,Spectrogram 1,1,141.8755474,142.6125216,553.719,447.526,141.9687,0.0909,142.4999,0.8636,0.5312,0.737,480,512,496,32,26.72,C,484,504,Dec03_2011_1500,0,7,Y
43,Spectrogram 1,1,144.6349161,145.0805284,804.03,637.156,144.7812,0.3077,144.9999,0.8462,0.2188,0.4456,672,768,688,96,26,B,676,704,Dec03_2011_1500,0,7,Y
44,Spectrogram 1,1,146.02317,147.1886176,561.304,303.407,146.0937,0.0541,146.9999,0.8378,0.9062,1.1654,320,512,368,192,23.2,C,372,528,Dec03_2011_1500,0,7,Y
45,Spectrogram 1,1,148.2512317,151.8846861,2920.296,1198.459,148.2812,0,151.4687,0.887,3.1875,3.6335,1248,2864,1264,1616,12.48,E2,1256,2676,Dec03_2011_1500,4,7,Y
46,Spectrogram 1,1,152.6559383,156.3579485,2927.881,1046.756,152.8749,0.0593,155.3437,0.7288,2.4688,3.702,1184,2752,1408,1568,12.76,E2,1388,2796,Dec03_2011_1500,4,7,Y
47,Spectrogram 1,1,157.1463395,160.8312108,3094.756,970.904,157.4062,0.0684,159.7812,0.7179,2.375,3.6849,1376,2784,1408,1408,12.48,E2,1368,2792,Dec03_2011_1500,4,7,Y
48,Spectrogram 1,1,161.602463,166.0585864,3178.193,1137.778,161.8437,0.0496,165.3437,0.844,3.5,4.4561,1392,3120,1424,1728,12.57,E2,1276,3048,Dec03_2011_1500,4,7,Y
49,Spectrogram 1,1,166.8298385,170.5832656,3125.096,1304.652,166.9999,0.042,170.1562,0.8908,3.1562,3.7534,1360,3088,1392,1728,13.14,E2,1548,3080,Dec03_2011_1500,4,7,Y
