Selection,View,Channel,BeginTime_s_,EndTime_s_,HighFreq_Hz_,LowFreq_Hz_,Time5__s_,Time5_Rel_,Time95__s_,Time95_Rel_,Dur90__s_,DeltaTime_s_,Freq5__Hz_,Freq95__Hz_,PeakFreq_Hz_,BW90__Hz_,SNRNISTQuick_dB_,QualName,StartFreqHz,EndFreqHz,Source,Inflections,Rendition,CompleteRendition
50,Spectrogram 1,1,171.5773239,175.1593615,3079.585,1266.726,171.6562,0.0175,174.9062,0.9298,3.25,3.582,1392,2992,1840,1600,13.98,E2,1396,2768,Dec03_2011_1500,4,7,Y
51,Spectrogram 1,1,176.1705588,181.0894335,2965.807,1122.607,176.3749,0.0385,179.9374,0.7692,3.5625,4.9189,1328,2800,1392,1472,13.96,E3,1384,2916,Dec03_2011_1500,6,7,Y
52,Spectrogram 1,1,181.8092688,186.2653922,3011.319,1016.415,182.1562,0.0775,185.5937,0.8521,3.4375,4.4561,1344,2880,2032,1536,13.7,E3,1156,2884,Dec03_2011_1500,6,7,Y
53,Spectrogram 1,1,187.1566169,190.4644316,1107.437,303.407,187.5312,0.1058,190.1249,0.9038,2.5938,3.3078,320,928,464,608,22.31,A,784,336,Dec03_2011_1500,1,7,Y
54,Spectrogram 1,1,195.0576665,195.5032788,781.274,629.57,195.0937,0.0714,195.4374,0.8571,0.3438,0.4456,672,736,688,64,31.76,B,676,736,Dec03_2011_1500,0,7,Y
55,Spectrogram 1,1,195.9660301,197.7142016,584.059,310.993,196.4687,0.2909,197.6249,0.9636,1.1562,1.7482,336,544,352,208,18.63,C,512,360,Dec03_2011_1500,0,7,Y
56,Spectrogram 1,1,198.3654812,198.7596767,773.689,652.326,198.4062,0.0833,198.6562,0.75,0.25,0.3942,672,720,688,48,36.76,B,688,692,Dec03_2011_1500,0,7,Y
57,Spectrogram 1,1,199.3424005,200.3364588,515.793,348.919,199.4687,0.129,200.2187,0.9032,0.75,0.9941,368,480,432,112,25.22,C,472,436,Dec03_2011_1500,0,7,Y
58,Spectrogram 1,1,202.1531861,203.3014948,538.548,242.726,202.2812,0.1111,203.1562,0.8889,0.875,1.1483,256,480,272,224,25.67,D,452,452,Dec03_2011_1500,1,7,Y
59,Spectrogram 1,1,204.312692,204.6211929,735.763,629.57,204.4062,0.25,204.5624,0.875,0.1562,0.3085,656,704,672,48,21.64,B,672,672,Dec03_2011_1500,0,7,Y
60,Spectrogram 1,1,205.0325274,206.1294193,538.548,242.726,205.1562,0.0882,205.9062,0.7941,0.75,1.0969,272,464,288,192,23.67,D,448,496,Dec03_2011_1500,1,7,Y
61,Spectrogram 1,1,206.9970316,207.9180801,452.923,147.692,207.1562,0.1724,207.8437,0.931,0.6875,0.921,176,352,208,176,27.51,D,284,280,Dec03_2011_1500,1,7,Y
62,Spectrogram 1,1,208.960319,209.9783199,492.308,137.846,209.2499,0.2812,209.8437,0.875,0.5938,1.018,160,368,176,208,23.18,D,264,312,Dec03_2011_1500,1,7,Y
63,Spectrogram 1,1,210.9720827,211.8931311,492.308,137.846,211.1249,0.1429,211.7812,0.8929,0.6562,0.921,160,352,160,192,27.06,D,212,264,Dec03_2011_1500,1,7,Y
65,Spectrogram 1,1,225.0829873,225.7374164,738.462,561.231,225.2499,0.25,225.7187,1,0.4688,0.6544,608,704,656,96,22.22,B,688,660,Dec03_2011_1500,0,8,Y
66,Spectrogram 1,1,226.1252262,227.0220365,502.154,344.615,226.2499,0.1111,226.9687,0.963,0.7188,0.8968,384,480,448,96,23.94,C,416,464,Dec03_2011_1500,0,8,Y
67,Spectrogram 1,1,229.6397531,230.4153728,738.462,561.231,229.8749,0.2917,230.2812,0.8333,0.4062,0.7756,624,704,688,80,28.54,B,608,696,Dec03_2011_1500,0,8,Y
68,Spectrogram 1,1,230.7062302,231.5303261,531.692,452.923,230.9062,0.24,231.4062,0.88,0.5,0.8241,480,512,496,32,20,C,496,504,Dec03_2011_1500,0,8,Y
69,Spectrogram 1,1,233.2754705,234.0753283,768,659.692,233.4062,0.16,233.9374,0.84,0.5312,0.7999,720,768,736,48,21.67,B,744,728,Dec03_2011_1500,0,8,Y
70,Spectrogram 1,1,234.538589,235.5323518,502.154,305.231,234.6562,0.0968,235.4062,0.871,0.75,0.9938,320,448,336,128,27.64,C,336,440,Dec03_2011_1500,0,8,Y
71,Spectrogram 1,1,239.0966512,242.8293211,2983.385,1142.154,239.2499,0.0339,242.3437,0.8729,3.0938,3.7327,1312,2800,2112,1488,12.77,E2,1328,2792,Dec03_2011_1500,4,8,Y
72,Spectrogram 1,1,243.4595121,247.0709914,2983.385,1132.308,243.7499,0.0783,246.8437,0.9391,3.0938,3.6115,1312,2928,1408,1616,13.12,E2,1184,2768,Dec03_2011_1500,4,8,Y
73,Spectrogram 1,1,248.1374685,253.0820442,3042.462,1289.846,248.3124,0.0318,252.2812,0.8408,3.9688,4.9446,1344,2976,2768,1632,12.6,E3,1400,2892,Dec03_2011_1500,6,8,Y
74,Spectrogram 1,1,253.9061401,257.0813333,3072,1339.077,254.1249,0.0693,256.6249,0.8614,2.5,3.1752,1440,2944,2768,1504,13.01,E2,1472,2908,Dec03_2011_1500,4,8,Y
75,Spectrogram 1,1,257.7647535,262.8547579,3052.308,1270.154,258.0624,0.0556,262.3437,0.9012,4.2812,5.09,1376,2928,1392,1552,13.14,E3,1312,2968,Dec03_2011_1500,6,8,Y
76,Spectrogram 1,1,263.8000444,267.6296668,2993.231,1270.154,263.8749,0.0164,267.2812,0.9098,3.4062,3.8296,1328,2848,1344,1520,13.48,E2,1376,2672,Dec03_2011_1500,4,8,Y
77,Spectrogram 1,1,268.5264771,273.2771478,3012.923,1358.769,268.8437,0.0662,272.4374,0.8278,3.5938,4.7507,1440,2944,2736,1504,13.54,E2,1448,2904,Dec03_2011_1500,4,8,Y
78,Spectrogram 1,1,274.3714637,279.0494201,3022.769,1270.154,274.6249,0.0537,278.5624,0.8993,3.9375,4.678,1424,2944,1440,1520,13.1,E3,1320,2968,Dec03_2011_1500,6,8,Y
79,Spectrogram 1,1,279.8008017,281.9337559,3042.462,1240.615,280.0312,0.1045,281.6562,0.8806,1.625,2.133,1360,2960,1584,1600,13.4,E1,1328,1300,Dec03_2011_1500,2,8,Y
80,Spectrogram 1,1,286.8073452,287.9950129,610.462,315.077,286.9374,0.1081,287.7187,0.7838,0.7812,1.1877,336,480,352,144,26.28,D,428,568,Dec03_2011_1500,1,8,Y
81,Spectrogram 1,1,290.0310147,291.3883492,531.692,265.846,290.1874,0.1163,291.0312,0.7442,0.8438,1.3573,304,496,416,192,22.18,D,452,468,Dec03_2011_1500,1,8,Y
82,Spectrogram 1,1,291.9943021,293.1819697,482.462,128,292.1874,0.1622,293.0312,0.8919,0.8438,1.1877,144,448,160,304,21.06,D,272,460,Dec03_2011_1500,1,8,Y
83,Spectrogram 1,1,294.0545419,294.9755903,433.231,147.692,294.2499,0.2069,294.9374,0.9655,0.6875,0.921,160,352,160,192,21.68,D,216,344,Dec03_2011_1500,1,8,Y
85,Spectrogram 1,1,303.4893625,304.1680298,718.769,590.769,303.5937,0.1429,303.9687,0.7143,0.375,0.6787,640,704,656,64,29.42,B,644,692,Dec03_2011_1500,0,9,Y
86,Spectrogram 1,1,304.4588871,305.9374122,571.077,413.538,304.6562,0.1304,305.7499,0.8913,1.0938,1.4785,448,528,464,80,22.52,C,460,520,Dec03_2011_1500,0,9,Y
87,Spectrogram 1,1,308.6520812,309.6700821,758.154,590.769,308.8749,0.2188,309.4999,0.8438,0.625,1.018,624,704,656,80,27.82,B,620,688,Dec03_2011_1500,0,9,Y
88,Spectrogram 1,1,310.1063682,311.2697977,620.308,462.769,310.2187,0.0833,311.1562,0.9167,0.9375,1.1634,464,592,512,128,20.54,C,492,588,Dec03_2011_1500,0,9,Y
89,Spectrogram 1,1,313.208847,313.9602286,748.308,630.154,313.4374,0.3043,313.9062,0.9565,0.4688,0.7514,656,688,672,32,35.25,B,672,676,Dec03_2011_1500,0,9,Y
90,Spectrogram 1,1,314.3238004,315.7296111,669.538,374.154,314.4687,0.0909,315.5624,0.8864,1.0938,1.4058,432,608,560,176,19.91,C,516,632,Dec03_2011_1500,0,9,Y
91,Spectrogram 1,1,316.2906885,318.7387382,2825.846,1260.308,316.5312,0.0909,318.3124,0.8312,1.7812,2.448,1312,2752,1552,1440,12.77,E1,1344,2604,Dec03_2011_1500,2,9,Y
92,Spectrogram 1,1,319.4901198,323.3924564,2944,1289.846,319.7187,0.0565,322.7812,0.8468,3.0625,3.9023,1328,2864,1344,1536,12.03,E2,1344,2736,Dec03_2011_1500,4,9,Y
93,Spectrogram 1,1,324.1195999,329.6701285,3032.615,1368.615,324.3749,0.0452,329.0937,0.8983,4.7188,5.5505,1440,2976,1472,1536,12.7,E3,1436,2696,Dec03_2011_1500,6,9,Y
94,Spectrogram 1,1,330.4973929,334.6421107,3062.154,1073.231,330.7499,0.0606,334.1562,0.8864,3.4062,4.1447,1280,3024,1280,1744,12.83,E2,1292,2936,Dec03_2011_1500,4,9,Y
95,Spectrogram 1,1,335.4419686,340.8955447,3121.231,1339.077,335.6874,0.0405,340.1562,0.8671,4.4688,5.4536,1440,3056,1456,1616,13.48,E3,1436,2620,Dec03_2011_1500,6,9,Y
96,Spectrogram 1,1,341.6469263,344.1676903,3091.692,1220.923,341.7499,0.0375,343.9374,0.9125,2.1875,2.5208,1312,3056,2928,1744,12.61,E1,1316,2804,Dec03_2011_1500,2,9,Y
97,Spectrogram 1,1,345.0402625,350.2756955,3062.154,1112.615,345.4374,0.0723,349.6562,0.8855,4.2188,5.2354,1424,2976,1504,1552,12.29,E3,1704,2664,Dec03_2011_1500,6,9,Y
98,Spectrogram 1,1,351.002839,356.0443671,3200,1309.538,351.1874,0.0312,355.4374,0.8812,4.25,5.0415,1424,2976,1504,1552,12.97,E3,1536,2812,Dec03_2011_1500,6,9,Y
99,Spectrogram 1,1,356.6260819,358.9771792,3150.769,1250.462,356.8437,0.0811,358.7187,0.8919,1.875,2.3511,1440,2976,1504,1536,12.39,E1,1324,2628,Dec03_2011_1500,2,9,Y
100,Spectrogram 1,1,359.8739895,365.8608041,3150.769,1181.538,360.1562,0.0471,365.1562,0.8848,5,5.9868,1392,2960,1504,1568,13.06,E4,1212,2956,Dec03_2011_1500,8,9,Y
101,Spectrogram 1,1,366.6121857,371.0235228,2973.538,1496.615,366.9062,0.0643,370.4687,0.8786,3.5625,4.4113,1664,2944,2592,1280,12.62,E3,1584,2932,Dec03_2011_1500,6,9,Y
102,Spectrogram 1,1,371.8476187,375.6772411,3042.462,1191.385,372.1562,0.0744,375.0937,0.8512,2.9375,3.8296,1216,2896,1232,1680,14.14,E2,1224,2604,Dec03_2011_1500,4,9,Y
103,Spectrogram 1,1,376.3624848,379.8931056,1084.681,280.652,376.7499,0.1071,379.7187,0.9554,2.9688,3.5306,320,960,336,640,21.12,A,808,360,Dec03_2011_1500,1,9,Y
104,Spectrogram 1,1,383.8693388,384.5206184,720.593,561.304,383.9062,0.05,384.4687,0.95,0.5625,0.6513,624,720,704,96,26.36,B,672,700,Dec03_2011_1500,0,9,Y
105,Spectrogram 1,1,385.3261484,386.5772907,591.644,257.896,385.4687,0.1026,386.3124,0.7949,0.8438,1.2511,288,544,400,256,19.7,D,372,552,Dec03_2011_1500,1,9,Y
106,Spectrogram 1,1,387.6570437,388.4111569,728.178,584.059,387.7499,0.087,388.2812,0.8261,0.5312,0.7541,640,688,672,48,28.64,B,672,676,Dec03_2011_1500,0,9,Y
107,Spectrogram 1,1,388.8053524,389.6965771,477.867,288.237,388.9999,0.2143,389.5312,0.8214,0.5312,0.8912,304,400,336,96,28.11,D,400,396,Dec03_2011_1500,1,9,Y
108,Spectrogram 1,1,390.810608,391.4790265,713.007,606.815,391.0624,0.381,391.3749,0.8571,0.3125,0.6684,656,704,672,48,24.75,B,652,672,Dec03_2011_1500,0,9,Y
109,Spectrogram 1,1,391.873222,392.9015582,546.133,242.726,392.0312,0.1562,392.7187,0.8438,0.6875,1.0283,272,464,336,192,25.61,D,396,484,Dec03_2011_1500,1,9,Y
111,Spectrogram 1,1,394.8039801,395.8665942,477.867,242.726,394.9374,0.1212,395.6249,0.7879,0.6875,1.0626,272,416,288,144,26.99,D,396,360,Dec03_2011_1500,1,9,Y
112,Spectrogram 1,1,396.6892631,397.8889886,485.452,121.363,396.8437,0.1081,397.7187,0.8649,0.875,1.1997,160,384,336,224,25.47,D,252,456,Dec03_2011_1500,1,9,Y
113,Spectrogram 1,1,398.7287965,399.8256884,432.356,121.363,398.9374,0.1765,399.7187,0.9118,0.7812,1.0969,144,320,176,176,24.34,D,240,272,Dec03_2011_1500,1,9,Y
114,Spectrogram 1,1,400.8540246,401.9337776,462.696,98.607,401.0624,0.1818,401.7499,0.8485,0.6875,1.0798,128,400,144,272,21.96,D,228,420,Dec03_2011_1500,1,9,Y
116,Spectrogram 1,1,408.252919,409.2469773,796.444,568.889,408.4374,0.1667,408.9687,0.7333,0.5312,0.9941,608,672,624,64,30.48,B,616,688,Dec03_2011_1500,0,10,Y
117,Spectrogram 1,1,409.5554781,410.9437319,682.667,424.77,409.9062,0.25,410.8749,0.9545,0.9688,1.3883,448,624,496,176,20.81,C,532,608,Dec03_2011_1500,0,10,Y
118,Spectrogram 1,1,414.2686856,415.1770492,773.689,629.57,414.4687,0.2143,415.0937,0.9286,0.625,0.9084,672,736,688,64,34.14,B,684,712,Dec03_2011_1500,0,10,Y
119,Spectrogram 1,1,415.6055226,417.09661,667.496,409.6,415.8749,0.1702,416.9999,0.9362,1.125,1.4911,432,592,448,160,21.62,C,496,528,Dec03_2011_1500,0,10,Y
120,Spectrogram 1,1,418.1168958,420.6020416,2836.859,1319.822,418.6562,0.2152,420.3124,0.8861,1.6562,2.4851,1376,2784,2704,1408,11.03,E1,1604,2624,Dec03_2011_1500,2,10,Y
121,Spectrogram 1,1,421.5275441,425.4523605,3178.193,1274.311,421.8437,0.08,425.0937,0.912,3.25,3.9248,1328,3040,1440,1712,10.91,E2,1332,2924,Dec03_2011_1500,4,10,Y
122,Spectrogram 1,1,426.3264463,430.3198184,3125.096,1365.333,426.5312,0.0472,429.9687,0.9134,3.4375,3.9934,1408,3040,1440,1632,11.72,E2,1452,2676,Dec03_2011_1500,4,10,Y
123,Spectrogram 1,1,431.1424874,435.0330259,3193.363,1372.919,431.2812,0.0323,434.7187,0.9194,3.4375,3.8905,1424,3056,1424,1632,12.09,E2,1440,2896,Dec03_2011_1500,4,10,Y
124,Spectrogram 1,1,436.3698629,438.769314,3170.607,1509.452,436.5937,0.0921,438.5937,0.9342,2,2.3995,1600,3088,2992,1488,11.75,E1,1632,2572,Dec03_2011_1500,2,10,Y
125,Spectrogram 1,1,439.7290944,444.5965523,3132.681,1160.533,439.9062,0.0323,444.1249,0.9032,4.2188,4.8675,1280,3008,1296,1728,12.64,E3,1308,2908,Dec03_2011_1500,6,10,Y
126,Spectrogram 1,1,445.497777,449.2169262,3109.926,1334.993,445.9374,0.1186,448.5937,0.839,2.6562,3.7191,1408,3008,1424,1600,13.2,E2,1420,2880,Dec03_2011_1500,4,10,Y
127,Spectrogram 1,1,449.9881783,455.8154166,3049.244,1251.556,450.2499,0.043,455.2499,0.9032,5,5.8272,1344,2992,1440,1648,12.48,E4,1300,2716,Dec03_2011_1500,8,10,Y
128,Spectrogram 1,1,456.535252,461.0085143,3026.489,1297.067,456.6874,0.0282,460.4687,0.8803,3.7812,4.4733,1392,2912,1440,1520,12.49,E3,1424,2852,Dec03_2011_1500,6,10,Y
129,Spectrogram 1,1,461.8826,465.8931111,2927.881,1251.556,462.1562,0.063,465.4374,0.8898,3.2812,4.0105,1280,2832,1296,1552,13.04,E3,1320,2680,Dec03_2011_1500,6,10,Y
130,Spectrogram 1,1,467.0928366,470.4520681,1213.63,326.163,467.4687,0.1121,470.3437,0.972,2.875,3.3592,352,896,384,544,21.12,A,628,352,Dec03_2011_1500,1,10,Y
131,Spectrogram 1,1,474.0400808,475.1883895,811.615,576.474,474.2187,0.1389,474.9999,0.8333,0.7812,1.1483,624,736,704,112,25.52,B,612,704,Dec03_2011_1500,0,10,Y
132,Spectrogram 1,1,475.4626125,476.5423655,621.985,470.281,475.6249,0.1471,476.4687,0.9412,0.8438,1.0798,496,560,528,64,24.77,C,508,524,Dec03_2011_1500,0,10,Y
133,Spectrogram 1,1,478.0363492,478.836207,827.077,669.538,478.1249,0.0833,478.7187,0.875,0.5938,0.7999,704,768,736,64,29.51,B,748,768,Dec03_2011_1500,0,10,Y
134,Spectrogram 1,1,479.1536068,480.2927983,561.231,334.769,479.4062,0.2222,480.1562,0.8889,0.75,1.1392,384,512,400,128,25.7,C,456,524,Dec03_2011_1500,0,10,Y
135,Spectrogram 1,1,481.5023998,482.2537814,807.385,659.692,481.5937,0.087,482.1562,0.8696,0.5625,0.7514,672,800,704,128,17.9,B,752,688,Dec03_2011_1500,0,10,Y
136,Spectrogram 1,1,482.3530382,483.2740866,561.231,295.385,482.4374,0.0714,483.0624,0.7857,0.625,0.921,320,480,336,160,25.26,C,380,524,Dec03_2011_1500,0,10,Y
137,Spectrogram 1,1,484.825326,485.8918031,541.538,265.846,485.0624,0.2121,485.5624,0.697,0.5,1.0665,304,448,320,144,22.54,C,452,452,Dec03_2011_1500,0,10,Y
138,Spectrogram 1,1,486.6189466,487.6611856,374.154,137.846,486.8437,0.2121,487.5937,0.9394,0.75,1.0422,160,336,320,176,24.61,D,384,272,Dec03_2011_1500,1,10,Y
139,Spectrogram 1,1,488.7761389,489.8183779,374.154,118.154,488.9374,0.1515,489.8124,1,0.875,1.0422,160,352,176,192,21.48,D,232,332,Dec03_2011_1500,1,10,Y
140,Spectrogram 1,1,490.7151882,491.6604747,364.308,108.308,490.9374,0.2333,491.5937,0.9333,0.6562,0.9453,128,320,144,192,26.62,D,256,308,Dec03_2011_1500,1,10,Y
142,Spectrogram 1,1,531.2060933,531.9089986,664.484,485.966,531.4062,0.2727,531.8124,0.8636,0.4062,0.7029,544,640,624,96,22.77,B,516,632,Dec03_2011_1500,0,11,N
143,Spectrogram 1,1,532.3452847,533.4359999,595.061,416.542,532.4062,0.0303,533.2812,0.8788,0.875,1.0907,448,560,496,112,21.81,C,540,464,Dec03_2011_1500,0,11,N
144,Spectrogram 1,1,535.3426276,536.5080753,705.422,508.207,535.7187,0.3243,536.4999,1,0.7812,1.1654,512,688,672,176,21.75,B,508,664,Dec03_2011_1500,0,11,N
145,Spectrogram 1,1,537.0907991,538.1362742,599.23,462.696,537.3749,0.2727,538.0624,0.9394,0.6875,1.0455,480,576,544,96,26.54,C,496,564,Dec03_2011_1500,0,11,N
146,Spectrogram 1,1,540.0287675,541.9435786,2538.925,1338.886,540.1249,0.0492,541.7499,0.9016,1.625,1.9148,1376,2528,1536,1152,11.95,E1,1556,2440,Dec03_2011_1500,2,11,N
147,Spectrogram 1,1,543.47058,545.7247247,2796.785,1408.31,543.7812,0.1268,545.4687,0.8873,1.6875,2.2541,1472,2752,1536,1280,12.79,E1,1712,2616,Dec03_2011_1500,2,11,N
148,Spectrogram 1,1,546.81544,550.8389672,2905.879,1378.557,546.9999,0.0394,550.3124,0.874,3.3125,4.0235,1488,2848,1504,1360,12.17,E2,1664,2680,Dec03_2011_1500,4,11,N
149,Spectrogram 1,1,551.4972852,554.599764,3133.985,1071.109,551.7187,0.0707,553.9687,0.798,2.25,3.1025,1296,2912,1360,1616,11.82,E1,1140,2588,Dec03_2011_1500,2,11,N
150,Spectrogram 1,1,555.2541932,559.7867209,3064.562,1120.697,555.4999,0.0486,559.2187,0.875,3.7188,4.5325,1280,2928,1776,1648,12.74,E2,1228,2896,Dec03_2011_1500,4,11,N
151,Spectrogram 1,1,560.3684357,564.0768674,3074.479,1041.356,560.5937,0.0593,563.5624,0.8644,2.9688,3.7084,1264,3040,1312,1776,12.37,E2,1124,2872,Dec03_2011_1500,4,11,N
152,Spectrogram 1,1,565.0401269,568.6393035,3056.83,1653.57,565.2499,0.0526,568.3124,0.9123,3.0625,3.5992,1696,3008,2880,1312,12.25,E2,1700,2568,Dec03_2011_1500,4,11,N
153,Spectrogram 1,1,569.7190564,573.3525109,3087.17,1319.822,569.9062,0.0435,572.9374,0.887,3.0312,3.6335,1408,2976,1424,1568,12.71,E2,1424,2788,Dec03_2011_1500,4,11,N
154,Spectrogram 1,1,574.0037905,578.8026926,2943.052,986.074,574.2187,0.0395,578.0937,0.8553,3.875,4.7989,1200,2880,1408,1680,13.25,E3,1208,2904,Dec03_2011_1500,6,11,N
155,Spectrogram 1,1,579.4759928,581.8513282,3044.726,932.262,579.6249,0.0533,581.5624,0.88,1.9375,2.3753,1008,2960,1376,1952,13.49,E1,1312,2584,Dec03_2011_1500,2,11,N
156,Spectrogram 1,1,582.7239004,589.028403,2995.138,1209.956,583.0624,0.05,588.0624,0.85,5,6.3045,1312,2896,1408,1584,13.05,E3,1416,2896,Dec03_2011_1500,6,11,N
157,Spectrogram 1,1,589.9580015,593.3857887,3041.659,1509.452,590.1249,0.0459,593.0624,0.9083,2.9375,3.4278,1568,2944,2112,1376,12.77,E2,1720,2864,Dec03_2011_1500,4,11,N
158,Spectrogram 1,1,594.2153598,597.0512194,3104.232,1100.862,594.3749,0.0556,596.7187,0.8889,2.3438,2.8359,1200,2976,1728,1776,13.06,E1,1356,2000,Dec03_2011_1500,2,11,N