"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90"
"2020","Dec26_2020_1300","52","52","M1","L2","M1","L2","N","M1","N","L2","M1","L2","N","M1","L2","N","M1","N","L2","M1","N","L2","L1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","K","L1","L2","N","K","L1","L2","N","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1300","53","53","L2","N","L1","L2","N","M1","N","L2","M1","N","L2","L1","N","L2","M1","N","L2","M1","L2","N","L1","N","L2","L1","N","L2","L1","N","L2","K","L1","N","L2","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1300","54","54","L2","M1","L2","M1","L2","L1","N","L2","M1","N","L2","M1","N","L2","L1","N","L2","L1","N","L2","K","N","L2","K","L1","N","L2","K","L1","N","L2","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1300","55","55","L1","N","L2","L1","N","L2","M1","L2","N","M1","N","L2","L1","L2","N","M1","N","L2","M1","N","L2","L1","N","L2","M1","N","L2","K","M1","N","L2","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1300","56","56","L2","N","M1","N","L2","M1","N","L2","M1","N","L2","M1","L2","N","M1","L2","N","M1","L2","N","M1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","K","L1","L2","N","K","L1","L2","N","K","L1","N","L2","K","L1","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1300","57","57","M2","L2","M1","N","L2","M1","N","L2","M1","N","L2","L1","N","L2","M1","N","L2","L1","N","L2","L1","N","L2","K","L1","N","L2","K","L1","N","L2","K","L1","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1300","58","58","L2","M1","L2","M2","L2","N","M1","N","L2","M1","L2","N","M1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L2","N","L2","K","L1","N","L2","K","L1","N","L2","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1300","59","59","M2","L2","M2","L2","N","M1","N","L2","M1","N","L2","M1","N","L2","L1","N","L2","L1","N","L2","M1","N","L2","L1","N","L2","L1","N","L2","K","L1","N","L2","K","L1","L2","N","K","L1","N","L2","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1300","60","60","M2","L2","M2","L2","M1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","M1","N","L2","M1","N","L2","L1","N","L2","K","L1","N","L2","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1300","61","61","M1","L2","M1","L2","M1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","K","L1","L2","N","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1400","63","63","M1","L1","M1","L1","M1","L2","M1","N","L2","L1","N","L2","L1","L2","N","L1","L2","N","M1","L2","N","K","L1","L2","N","K","L1","N","L1","K","L1","L1","N","K","L1","L1","N","K","L1","N","L1","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1400","64","64","M2","L2","M1","N","M2","L1","N","L2","M2","L2","N","L1","N","L2","M2","L2","N","M1","L2","N","M2","L2","N","M1","N","L2","M2","L2","N","L1","N","L2","K","L1","N","L2","K","L1","N","L2","K","L1","L1","N","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1400","65","65","M2","L2","M1","L2","M1","L2","N","M2","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","K","L1","N","L2","K","L1","N","L2","K","L1","N","L2","K","L1","N","L2","K","L1","N","L2","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1400","66","66","M2","L2","L1","N","L2","M2","N","L2","L1","N","L2","M2","N","L2","L1","N","L2","M1","L2","N","L2","N","M1","N","L2","M1","N","L2","M1","N","L2","M1","L2","N","K","L1","L2","N","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1400","67","67","M2","L2","N","M1","N","L2","M2","N","L2","M2","L2","N","L1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","L1","N","L2","K","N","L2","K","L2","N","K","N","L2","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1400","68","68","M2","L2","M1","L2","M1","N","L2","M1","N","L2","L1","L2","M2","N","L2","L1","N","L2","M2","N","L2","L1","N","L2","M2","L2","N","L1","L1","N","K","L1","N","L1","K","L1","N","L1","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1400","69","69","L2","M2","L2","N","M1","N","L2","M1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","M1","L2","N","K","L1","L2","N","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1400","70","70","M2","L2","M2","N","L2","M2","L2","N","L1","N","L2","M1","L2","N","M1","L2","N","M1","N","L2","M1","N","L2","L1","N","L2","L1","N","L2","L1","L2","N","L1","N","L2","L1","N","L2","K","L1","L1","N","K","L1","L1","N","K","L1","L1","N","K","L1","L1","N","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1400","71","71","L2","M1","L2","M2","N","L2","M2","L2","N","L1","L2","N","L1","N","L2","L1","N","L2","M1","L2","N","M1","N","L2","M1","N","L2","M1","L2","N","K","N","L1","K","L1","N","L1","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1400","72","72","M1","L2","M2","L2","N","M1","L2","N","M1","L2","N","L1","L2","N","L1","N","L2","M1","N","L2","L1","L2","N","L1","N","L2","L1","L2","N","K","L1","N","L1","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1400","73","73","M1","L1","M2","N","L2","M1","N","L2","L1","L2","N","M1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","K","L1","N","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1400","74","74","L2","N","M1","N","L2","M1","L2","N","M1","N","L2","L1","N","L2","M1","L2","N","L1","L2","N","M1","L2","N","M1","L2","N","M1","L2","N","K","L1","L2","N","K","L1","N","L1","K","L1","N","L1","K","L1","L1","N","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1500","76","76","L2","L2","M2","L2","N","M1","N","L2","M1","L2","N","M1","N","L2","M1","N","L2","L1","L2","N","L1","L2","N","L1","L2","N","M1","L2","N","M1","N","L2","L1","L2","N","L1","L2","N","M1","L2","N","M1","N","L2","M1","N","L2","K","L1","L1","N","K","L1","N","L1","K","L1","N","L1","K","L1","N","L1","K","N","L1","K","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1500","77","77","M1","L2","M1","L2","N","M1","L2","N","M1","L2","N","M1","L2","N","M1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","L2","N","K","L1","L1","N","K","L1","N","L1","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1500","78","78","L2","M1","L2","M1","N","L2","M1","N","L2","M1","N","L2","L1","N","L2","L1","L2","N","L1","N","L2","L1","N","L2","K","L1","N","L1","K","L1","N","L1","K","L1","N","L1","K","L1","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1500","79","79","L2","L2","M2","L2","M1","L2","N","M1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","K","L1","L2","N","K","L1","N","L1","K","L1","N","L1","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1500","80","80","M1","L2","M1","L2","M1","L2","N","M1","N","L2","M1","N","L2","L1","N","L2","L1","L2","N","L1","L2","N","L1","N","L2","L1","N","L2","K","L1","N","L1","K","L1","N","L1","K","L1","N","L1","K","L1","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1500","81","81","L1","M1","L1","M1","L1","M1","L2","N","L1","N","L1","M1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","L2","N","L1","N","L2","K","L1","L2","N","K","L1","N","L2","K","L1","L2","N","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1500","82","82","M1","L2","M1","N","L2","M1","L2","N","M1","N","L2","M1","L2","N","L1","L2","N","L1","L2","N","L1","L2","N","M1","L2","N","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1500","83","83","L2","M2","L2","M1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","K","L1","N","L2","K","L1","M1","L2","L1","L2","M2","N","L2","M1","N","L2","M1","N","L2","M1","L2","N","M1","N","L2","M1","N","L2","M1","N","L2","L1","N","L2","L1","N","L2","M1","N","L2","M1","N","L2","L1","L2","N","L1","N","L2","K","L1","L2","N","K","L1","L2","N","K","L1","L2","N","K","L1","L2","N","K","L1",NA
"2020","Dec26_2020_1500","84","84","M1","L2","L2","M2","L2","N","M1","N","L2","M1","N","L2","M1","N","L2","L1","L2","N","L1","N","L2","L1","N","L2","M1","L2","N","L1","N","L2","L1","L2","N","K","L1","N","L2","K","L1","N","L2","K","L1","L2","N","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1500","85","85","M1","L1","M1","L1","M1","L1","N","M1","L1","N","M1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","K","L1","N","L2","K","L1","N","L2","K","L1","N","L1","K","L1","N","L1","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1600","86","86","M2","L2","M2","M2","L2","M1","M1","L2","N","M1","L2","N","L1","N","L2","L1","N","L2","K","L1","L2","N","K","L1","N","L2","K","L1","N","L2","K","L2","N","K","L2","N","K","N","L2","K","N","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1600","87","87","M2","M2","L2","M1","L2","M2","L2","M2","L2","N","M2","L2","N","M1","L2","N","M2","N","L2","K","L1","N","L2","K","L1","N","L2","K","L1","N","L2","K","L1","N","L2","K","L1","N","L2","K","L1","N","L2","K","L1","N","L2","K","L1","N","L2","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1600","88","88","M2","N","L2","M2","N","L2","M1","N","L2","M2","N","L2","M1","N","L2","M2","N","L2","M1","L2","N","M1","L2","N","M1","N","L2","K","L1","N","L2","K","L1","N","L2","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec26_2020_1600","89","89","L2","M2","L2","M2","L2","M1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","L1","N","L2","M1","N","L2","M1","N","L2","M1","M1","L2","N","K","L1","N","L2","K","L1","N","L2","K","L1","L2","N","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec29_2020_0400","92","92","L2","M1","L2","M1","L2","N","M1","N","L2","M1","N","L2","L1","L2","N","L1","N","L2","M1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","N","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","K","L1","N","L2","K","L1","N","L2","K","L1","N","L2","K","L1","N","L2","K","L1","N","L2","K","L1",NA,NA,NA,NA,NA,NA,NA
"2020","Dec29_2020_0400","93","93","M2","M1","M1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","L2","N","L1","N","L2","L1","L2","N","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","K","L1","N","L2","K","L1","N","L2","K","L1","N","L2","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec29_2020_0400","94","94","M2","M2","L1","M2","N","L2","M1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","K","L1","L2","N","K","L1","N","L2","K","L1","L2","N","K","L1","N","L2","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec29_2020_0400","95","95","M2","M1","N","L2","M1","M1","L2","N","M1","N","L2","L1","N","L2","L1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","K","N","L2","K","L1","N","L2","K","L1","N","L2","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec29_2020_0400","96","96","M1","M1","L2","M1","L2","M1","L2","N","M1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","K","L2","N","K","N","L2","K","N","L2","K","N","L2","K","N","L2","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec29_2020_0400","97","97","M1","L2","M1","L2","M2","L2","L1","L2","N","L1","N","L2","L1","N","L2","L1","N","L2","M1","N","L2","L1","N","L2","L1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","K","N","L2","K","N","L2","K","L2","N","K","N","L2","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec29_2020_0400","98","98","M1","M1","L2","M1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","K","L1","N","L2","K","L1","N","L2","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec29_2020_0400","99","99","M2","L2","M1","M1","N","L2","M2","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","K","N","L2","K","L1","N","L2","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec29_2020_0400","100","100","M2","L2","N","L2","M2","N","L2","M1","N","L2","M1","N","L2","L1","N","L2","L1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","M1","N","L2","K","L1","N","L2","K","L1","N","L2","K","L1","N","L2","K","L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec29_2020_0400","101","101","M2","L1","M2","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","K","L1","L2","N","K","L1","L2","N","K","L1","L2","N","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec29_2020_0400","102","102","M2","L2","M2","L2","M1","N","L2","L1","N","L2","M1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","M1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","K","L1","N","L2","K","N","L2","K","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","Dec29_2020_0400","103","103","M2","L2","L1","N","L2","L1","N","L2","L1","L2","N","M1","N","L2","M1","N","L2","L1","N","L2","L1","N","L2","M1","N","L2","M1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","M1","N","L2","M1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","L1","N","L2","K","L1","N","L2","K","L1","N","L2","K","L1","N","L2","K","L1","N","L2","K","L1","N","L2","K","L1","N","L2","K","L1","N","L2","K","L1"
